player,daritu,games,daseki,dasuu,tokuten,anda,2rui,3rui,hr,ruida,daten,k,kp,bb,bbp,hbp,gida,gihi,heisatu,obp,tyo,daritu2,games2,daseki2,dasuu2,tokuten2,anda2,2rui2,3rui2,hr2,ruida2,daten2,k2,kp2,bb2,bbp2,hbp2,gida2,gihi2,heisatu2,obp2,tyo2
éRìc óœ,0.204968944,57,189,161,18,33,5,1,2,46,16,37,0.195767196,15,0.079365079,6,4,3,1,0.291891892,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
äÅñÿ „ƒîn,0.19375,53,184,160,16,31,7,2,1,45,17,43,0.233695652,22,0.119565217,0,0,2,2,0.288043478,0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ç≤ÅXñÿ äCìn,0.212328767,61,183,146,16,31,4,1,0,37,7,26,0.142076503,17,0.092896175,5,15,0,3,0.31547619,0.253424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
êXìc óVñÁ,0.221518987,62,181,158,19,35,3,2,1,45,9,34,0.187845304,15,0.082872928,1,6,1,1,0.291428571,0.284810127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
äpà‰ ó∫ëæ,0.248275862,53,174,145,18,36,10,1,7,69,27,56,0.32183908,24,0.137931034,3,0,2,0,0.362068966,0.475862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ã{â∫ ëÂê∂,0.202898551,54,170,138,12,28,2,0,0,30,8,37,0.217647059,16,0.094117647,2,11,3,0,0.289308176,0.217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ìVñÏ ó¥êl,0.225352113,55,170,142,14,32,7,1,0,41,14,22,0.129411765,12,0.070588235,6,9,1,0,0.310559006,0.288732394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
âüêÏ ä@êl,0.25,55,163,124,20,31,4,2,0,39,15,38,0.233128834,26,0.159509202,4,8,1,5,0.393548387,0.314516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
èoå¥ çNäÛ,0.266666667,45,163,135,15,36,6,0,1,45,16,31,0.190184049,20,0.122699387,3,3,2,4,0.36875,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
å√âÍ äo,0.272727273,55,160,143,21,39,2,3,0,47,17,36,0.225,13,0.08125,0,3,1,1,0.331210191,0.328671329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
í£ å´·¡,0.24137931,54,160,145,12,35,7,0,2,48,19,43,0.26875,11,0.06875,2,0,2,2,0.3,0.331034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ïΩîˆ ëìäM,0.25,46,159,132,13,33,11,0,0,44,20,15,0.094339623,24,0.150943396,1,0,2,4,0.364779874,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñkë∫ íCãP,0.178861789,58,158,123,19,22,0,0,2,28,15,49,0.310126582,24,0.151898734,1,9,1,4,0.315436242,0.227642276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
âFìsã{ à®êØ,0.255813953,43,157,129,18,33,2,1,0,37,14,39,0.248407643,19,0.121019108,1,7,1,2,0.353333333,0.286821705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
